tab_verification,ధృవీకరణ
government,ప్రభుత్వం
occupation,వృత్తి
education,విద్య
diet,ఆహారం
reproductive_history,పునరుత్పత్తి చరిత్ర
number_of_children,పిల్లల సంఖ్య
uterus,గర్భాశయం
yes,అవును
no,కాదు
delivery_details,ప్రసవ వివరాలు
type_of_delivery,ప్రసవ రకం
delivery_location,ప్రసవ స్థానం
delivery_source,ప్రసవ మూలం
menstrual_details,రుతుక్రమ వివరాలు
age_of_onset,ప్రారంభ వయస్సు
years,సంవత్సరాలు
cycle_frequency,చక్రం పౌనఃపున్యం
days,రోజులు
duration_of_flow,ప్రవాహ వ్యవధి
lmp,చివరి బహిష్టు తేదీ
mh,బహిష్టు వివరాలు
regular,క్రమం
irregular,అక్రమం
previous,మునుపటి
next,తదుపరి
medical_conditions,వైద్య పరిస్థితులు
condition_dm,డయాబెటిస్
condition_htn,అధిక రక్తపోటు
condition_tsh,థైరాయిడ్ సమస్య
condition_heart_disease,గుండె జబ్బు
cond_no,లేదు
cond_current,ప్రస్తుత
cond_past,గత
other_conditions,ఇతర పరిస్థితులు
surgical_history,శస్త్రచికిత్స చరిత్ర
allergies,అలెర్జీలు
no_known_allergies,తెలిసిన అలెర్జీలు లేవు
no_known_allergies_hint,(రోగికి అలెర్జీలు లేకపోతే ఇక్కడ చెక్ చేయండి)
allergy_substance,అలెర్జీ / మందు / పదార్థం
allergy_reaction,ప్రతిచర్య / లక్షణం
add_another_allergy,మరొక అలెర్జీ జోడించండి
family_history,కుటుంబ చరిత్ర
fh_cancer,క్యాన్సర్
fh_tuberculosis,క్షయ వ్యాధి
fh_diabetes,డయాబెటిస్
fh_bp,అధిక రక్తపోటు
fh_thyroid,థైరాయిడ్ సమస్య
other_family_history,ఇతర కుటుంబ చరిత్ర
vital_signs,జీవన సంకేతాలు
pulse,నాడి
bp,రక్తపోటు
temperature,ఉష్ణోగ్రత
physical_examination,శారీరక పరీక్ష
heart,గుండె
lungs,ఊపిరితిత్తులు
liver,కాలేయం
spleen,ప్లీహం
lymph_glands,శోషరస గ్రంథులు
anthropometric_measurements,శరీర కొలతలు
height,ఎత్తు
weight,బరువు
obesity_overweight,స్థూలత / అధిక బరువు
head_and_neck,తల మరియు మెడ
mouth,నోరు
lips,పెదవులు
buccal_mucosa,బుగ్గ శ్లేష్మం
teeth,దంతాలు
tongue,నాలుక
oropharynx,నోటి గొంతు
hypo,హైపో
naso_pharynx,నాసల్ గొంతు
larynx,స్వరపేటిక
nose,ముక్కు
ears,చెవులు
neck,మెడ
bones_joints,ఎముకలు మరియు కీళ్ళు
abdomen_genital,ఉదరం మరియు జననాంగాలు
breasts,స్తనాలు
left,ఎడమ
right,కుడి
axillary_nodes,చంకలోని కణుపులు
breast_exam_diagram,స్తన పరీక్ష రేఖాచిత్రం
breast_diagram,స్తన రేఖాచిత్రం
edit,సవరించు
draw,గీయు
pelvic_exam_introitus,పెల్విక్ పరీక్ష
cervix,గర్భాశయ ముఖం
ovaries,అండాశయాలు
adnexa,అనుబంధ అవయవాలు
pelvic_exam_diagram,పెల్విక్ పరీక్ష రేఖాచిత్రం
pelvic_diagram,పెల్విక్ రేఖాచిత్రం
rectal_examination,మలద్వార పరీక్ష
skin,చర్మం
remarks,వ్యాఖ్యలు
gynae_examination,స్త్రీ వ్యాధుల పరీక్ష
via_diagram,VIA రేఖాచిత్రం
vili_diagram,VILI రేఖాచిత్రం
investigations,పరిశోధనలు
sr_creatinine,కిడ్నీ పనితీరు పరీక్ష
others,ఇతరులు
cytology_report,సైటాలజీ నివేదిక
papsmear,పాప్‌స్మియర్
papsmear_notes,పాప్‌స్మియర్ గమనికలు
colposcopy,కోల్పోస్కోపీ
colposcopy_notes,కోల్పోస్కోపీ గమనికలు
biopsy,బయాప్సీ
biopsy_notes,బయాప్సీ గమనికలు
done,పూర్తయింది
advised,సూచించబడింది
lab_orders,ల్యాబ్ ఆర్డర్లు
order_lab_test,ల్యాబ్ పరీక్ష ఆర్డర్ చేయండి
no_lab_orders,ఇంకా ల్యాబ్ పరీక్షలు ఆర్డర్ చేయలేదు.
col_test,పరీక్ష
col_notes,గమనికలు
col_ordered_by,ఆర్డర్ చేసిన వారు
col_status,స్థితి
col_ordered,ఆర్డర్ చేయబడింది
status_completed,పూర్తయింది
status_pending,పెండింగ్
assessment_disposition,మూల్యాంకనం మరియు నిర్వహణ
risk_level,ప్రమాద స్థాయి
referral,రెఫరల్
patient_acceptance,రోగి అంగీకారం
doctors_summary,వైద్యుని సారాంశం
summary_recommendations,సారాంశం మరియు సిఫారసులు
complete_intake,ఇంటేక్ పూర్తి చేయండి
filter_tests,పరీక్షలను వడపోయండి
filter_placeholder,టైప్ చేయండి...
order_notes_label,ఆర్డర్ గమనికలు
order_notes_hint,(ఐచ్ఛికం)
order_notes_placeholder,ల్యాబ్ కోసం ఏవైనా గమనికలు...
submit_order,ఆర్డర్ సమర్పించండి
diagram_editor,రేఖాచిత్రం సంపాదకుడు
drawing_tool,డ్రాయింగ్ టూల్
color_black,నలుపు
color_red,ఎరుపు
eraser,తుడుపు
thickness,మందం
thickness_fine,అతి సన్నని (2 px)
thickness_normal,సాధారణ (4 px)
thickness_medium,మధ్యస్థ (6 px)
thickness_thick,మందపాటి (8 px)
thickness_very_thick,అతి మందపాటి (12 px)
undo,చర్యను రద్దు చేయి
redo,మళ్ళీ చేయి
clear,తుడిచివేయి
diagram_hint_before,పైన రేఖాచిత్రంపై గీయండి. క్లిక్ చేయండి
diagram_hint_after,పూర్తయ్యాక.
save_diagram,రేఖాచిత్రం సేవ్ చేయండి
occupation_placeholder,ఉదా. ఉపాధ్యాయుడు రైతు గృహిణి
education_placeholder,ఉదా. కళాశాల హైస్కూల్ లేదు
diet_placeholder,ఉదా. శాకాహారం మాంసాహారం
delivery_lscs,సిజేరియన్
delivery_nd,సాధారణ ప్రసవం
delivery_gh,ప్రభుత్వ నిధులతో
bmi,బి.ఎమ్.ఐ.
gynae_ps,P/S (స్పెక్ట్రమ్ పరీక్ష)
gynae_pv,P/V (యోని ద్వారా పరీక్ష)
gynae_via,VIA (ఎసిటిక్ యాసిడ్ పరీక్ష)
gynae_vili,VILI (అయోడిన్ పరీక్ష)
spo2,SpO2 (ఆక్సిజన్ శాతం)
lab_hb,Hb (హిమోగ్లోబిన్)
lab_fbs,FBS (పరగడుపున చక్కెర పరీక్ష)
lab_tsh,TSH (థైరాయిడ్ పరీక్ష)
nav_dashboard,డాష్‌బోర్డ్
nav_intake,ఇంటేక్
nav_my_reviews,నా సమీక్షలు
nav_patients,రోగులు
nav_appointments,అపాయింట్‌మెంట్లు
nav_labwork,ల్యాబ్ పని
nav_calendar,కాలెండర్
nav_feedback,అభిప్రాయం
nav_messages,సందేశాలు
nav_tasks,పనులు
nav_analytics,విశ్లేషణలు
nav_patient_messages,రోగి సందేశాలు
nav_profile,ప్రొఫైల్
nav_settings,సెట్టింగులు
nav_admin_panel,అడ్మిన్ ప్యానెల్
nav_assets,ఆస్తులు
nav_log_out,లాగ్ అవుట్
role_super_admin,సూపర్ అడ్మిన్
role_admin,అడ్మిన్
role_doctor,డాక్టర్
role_triage_nurse,ట్రయాజ్ నర్స్
role_nurse,నర్స్
role_paramedic,పారా మెడిక్
role_grievance_officer,ఫిర్యాదుల అధికారి
role_education_team,విద్యా బృందం
role_data_entry_operator,డేటా ఎంట్రీ ఆపరేటర్
cmp_vitals_heading,వైటల్స్ పోలిక (మునుపటి సందర్శన)
cmp_threshold_legend,= మార్పు పరిమితిని మించింది
cmp_col_vital,వైటల్
cmp_col_this_visit,ఈ సందర్శన
cmp_bp_systolic,సిస్టోలిక్ రక్తపోటు
cmp_bp_diastolic,డయాస్టోలిక్ రక్తపోటు
cmp_no_prior_record,మునుపటి రికార్డు లేదు
cmp_not_recorded,నమోదు చేయలేదు
cmp_menstrual_heading,రుతుక్రమ పోలిక (మునుపటి సందర్శన)
cmp_col_field,క్షేత్రం
tab_patient,రోగి
tab_history_records,చరిత్ర మరియు రోగి రికార్డులు
tab_assessment,మూల్యాంకనం మరియు రోగ నిర్ధారణ
tab_plan,చికిత్స ప్రణాళిక
tab_followup,ఫాలో-అప్ మరియు రెఫరల్లు
tab_audit,ఆడిట్ చరిత్ర
doctor_review,డాక్టర్ సమీక్ష
intake_by,ఇంటేక్ చేసినవారు
this_visit,ఈ సందర్శన
type_label,రకం
symptoms_label,లక్షణాలు
lock_editing,సవరణను లాక్ చేయండి
editing_patient_record,రోగి రికార్డు సవరిస్తున్నారు.
auto_save_audit_note,మార్పులు స్వయంచాలకంగా సేవ్ అవుతాయి మరియు ఆడిట్ లాగ్‌లో నమోదు చేయబడతాయి.
synced_with_history,చరిత్ర ట్యాబ్‌తో సమకాలీకరించబడింది
add_allergy,అలెర్జీ జోడించండి
patient_history_heading,రోగి చరిత్ర
prior_visits_subtitle,ఈ రోగి యొక్క అన్ని మునుపటి సందర్శనలు, కొత్తవి ముందు.
no_previous_visits,ఈ రోగికి మునుపటి సందర్శనలు రికార్డులో లేవు.
assessment_label,మూల్యాంకనం
diagnosis_label,రోగ నిర్ధారణ
treatment_plan_label,చికిత్స ప్రణాళిక
prescriptions_label,మందుల వివరాలు
follow_up_notes_label,ఫాలో-అప్ గమనికలు
surgical_label,శస్త్రచికిత్స
closure_discharged,డిశ్చార్జ్ చేయబడింది
closure_referred,రెఫర్ చేయబడింది
closure_cancelled,రద్దు చేయబడింది
cmp_vitals_heading_short,వైటల్స్ పోలిక
cmp_lab_heading,ల్యాబ్ ఫలితాల పోలిక
cmp_previous_visit_label,మునుపటి సందర్శన:
cmp_col_prev_visit,మునుపటి సందర్శన
cmp_col_investigation,పరిశోధన
cmp_menstrual_heading_short,రుతుక్రమ పోలిక
has_uterus_label,గర్భాశయం ఉంది
auto_saved_note,స్వయంచాలకంగా సేవ్ అయింది. ప్రతి మార్పు మీ పేరు మరియు సమయంతో నమోదు చేయబడుతుంది.
left_breast,ఎడమ స్తనం
right_breast,కుడి స్తనం
pelvic_examination_label,పెల్విక్ పరీక్ష
rectal_skin,మలద్వార చర్మం
rectal_remarks,మలద్వార వ్యాఖ్యలు
hypopharynx,హైపోఫారింక్స్
clinical_assessment,క్లినికల్ మూల్యాంకనం
follow_up_date_label,ఫాలో-అప్ తేదీ
follow_up_instructions_label,ఫాలో-అప్ సూచనలు
referrals_heading,రెఫరల్లు
referral_to_label,రెఫరల్ వ్యక్తికి
referral_reason_label,రెఫరల్ కారణం
hpi_heading,ప్రస్తుత అనారోగ్య చరిత్ర
hpi_narrative_label,HPI వివరణ
disposition_label,తీర్మానం
close_chart,చార్ట్ మూసివేయండి
closure_type_label,మూసివేత రకం
closure_follow_up_scheduled,ఫాలో-అప్ షెడ్యూల్ చేయబడింది
view_audit_history,ఆడిట్ చరిత్ర చూడండి
col_when,ఎప్పుడు
col_by,ఎవరిచే
col_previous_value,మునుపటి విలువ
col_new_value,కొత్త విలువ
audit_no_changes,ఇంకా మార్పులు నమోదు కాలేదు.
audit_subtitle,ఈ చార్ట్‌లో చేసిన ప్రతి మార్పు యొక్క పూర్తి రికార్డు — ఎవరు మార్చారు, ఎప్పుడు మరియు మునుపటి విలువ ఏమిటి.
assessment_diagnosis_subtitle,మీ క్లినికల్ మూల్యాంకనం మరియు అధికారిక రోగ నిర్ధారణ నమోదు చేయండి.
treatment_plan_subtitle,ఈ రోగికి చికిత్స ప్రణాళిక, మందులు మరియు సలహాలు నమోదు చేయండి.
followup_subtitle,ఏదైనా ఫాలో-అప్ అపాయింట్‌మెంట్లు, రెఫరల్లు మరియు తుది తీర్మానం పేర్కొనండి.
close_chart_warning,ఈ చార్ట్ మూసివేయడం దాన్ని లాక్ చేస్తుంది. ఈ చర్యను రద్దు చేయడం సాధ్యం కాదు. కొనసాగే ముందు అన్ని పరీక్ష గమనికలు, మూల్యాంకనం, రోగ నిర్ధారణ మరియు చికిత్స ప్రణాళిక పూర్తయిందని నిర్ధారించుకోండి.
saving_label,సేవ్ అవుతోంది...
advice_instructions,సలహాలు మరియు సూచనలు
closure_pending,పెండింగ్
close_chart_locked_note,చార్ట్ లాక్ చేయబడి మూసివేయబడినట్లు గుర్తించబడుతుంది. నమోదు: మూసివేత
close_chart_at_submission,సమర్పణ సమయంలో.
end_label,ముగించు
