tab_verification,Verification
lab_orders,Lab Orders
order_lab_test,Order Lab Test
no_lab_orders,No lab tests ordered yet.
col_test,Test
col_notes,Notes
col_ordered_by,Ordered By
col_status,Status
col_ordered,Ordered
status_completed,Completed
status_pending,Pending
assessment_disposition,Assessment & Disposition
risk_level,Risk Level
referral,Referral
patient_acceptance,Patient Acceptance
doctors_summary,Doctor's Summary
summary_recommendations,Summary and Recommendations
complete_intake,Complete Intake
filter_tests,Filter tests
filter_placeholder,Type to filter…
order_notes_label,Order Notes
order_notes_hint,"(optional — e.g. fasting required, special instructions)"
order_notes_placeholder,Any notes for the lab…
submit_order,Submit Order
diagram_editor,Diagram Editor
drawing_tool,Drawing Tool
color_black,Black
color_red,Red
eraser,Eraser
thickness,Thickness
thickness_fine,Fine (2 px)
thickness_normal,Normal (4 px)
thickness_medium,Medium (6 px)
thickness_thick,Thick (8 px)
thickness_very_thick,Very thick (12 px)
undo,Undo
redo,Redo
clear,Clear
diagram_hint_before,Draw on the diagram above. Click
diagram_hint_after,when finished.
save_diagram,Save Diagram
occupation_placeholder,"e.g. Teacher, Farmer, Homemaker"
education_placeholder,"e.g. College, High School, None"
diet_placeholder,"e.g. Vegetarian, Non-Vegetarian"
delivery_lscs,LSCS
delivery_nd,ND
delivery_gh,GH
bmi,BMI
gynae_ps,P/S
gynae_pv,P/V
gynae_via,VIA
gynae_vili,VILI
spo2,SpO2
lab_hb,Hb
lab_fbs,FBS
lab_tsh,TSH
nav_dashboard,Dashboard
nav_intake,Intake
nav_my_reviews,My Reviews
nav_patients,Patients
nav_appointments,Appointments
nav_labwork,Labwork
nav_calendar,Calendar
nav_feedback,Feedback
nav_messages,Messages
nav_tasks,Tasks
nav_analytics,Analytics
nav_patient_messages,Patient Messages
nav_profile,Profile
nav_settings,Settings
nav_admin_panel,Admin Panel
nav_assets,Assets
nav_log_out,Log Out
role_super_admin,Super Admin
role_admin,Admin
role_doctor,Doctor
role_triage_nurse,Triage Nurse
role_nurse,Nurse
role_paramedic,Paramedic
role_grievance_officer,Grievance Officer
role_education_team,Education Team
role_data_entry_operator,Data Entry Operator
cmp_vitals_heading,Vitals comparison (previous visit)
cmp_threshold_legend,= change exceeds threshold
cmp_col_vital,Vital
cmp_col_this_visit,This visit
cmp_bp_systolic,Systolic BP
cmp_bp_diastolic,Diastolic BP
cmp_no_prior_record,no prior record
cmp_not_recorded,not recorded
cmp_menstrual_heading,Menstrual comparison (previous visit)
cmp_col_field,Field
tab_patient,Patient
tab_history_records,History & Patient Records
tab_assessment,Assessment & Diagnosis
tab_plan,Treatment Plan
tab_followup,Follow-up & Referrals
tab_audit,Audit History
doctor_review,Doctor Review
intake_by,Intake by
this_visit,This visit
type_label,Type
symptoms_label,Symptoms
lock_editing,Lock Editing
editing_patient_record,Editing patient record.
auto_save_audit_note,Changes are saved automatically per field and logged in the audit trail.
synced_with_history,synced with History tab
add_allergy,Add allergy
patient_history_heading,Patient History
prior_visits_subtitle,"All prior closed visits for this patient, newest first."
no_previous_visits,No previous visits on record for this patient.
assessment_label,Assessment
diagnosis_label,Diagnosis
treatment_plan_label,Treatment Plan
prescriptions_label,Prescriptions
follow_up_notes_label,Follow-up Notes
surgical_label,Surgical
closure_discharged,Discharged
closure_referred,Referred
closure_cancelled,Cancelled
cmp_vitals_heading_short,Vitals comparison
cmp_lab_heading,Lab results comparison
cmp_previous_visit_label,Previous visit:
cmp_col_prev_visit,Previous visit
cmp_col_investigation,Investigation
cmp_menstrual_heading_short,Menstrual comparison
has_uterus_label,Has Uterus
auto_saved_note,Auto-saved. Every change is logged with your name and timestamp.
left_breast,Left Breast
right_breast,Right Breast
pelvic_examination_label,Pelvic Examination
rectal_skin,Rectal Skin
rectal_remarks,Rectal Remarks
hypopharynx,Hypopharynx
clinical_assessment,Clinical Assessment
follow_up_date_label,Follow-up Date
follow_up_instructions_label,Follow-up Instructions
referrals_heading,Referrals
referral_to_label,Referral To
referral_reason_label,Referral Reason
hpi_heading,History of Present Illness
hpi_narrative_label,HPI Narrative
disposition_label,Disposition
close_chart,Close Chart
closure_type_label,Closure Type
closure_follow_up_scheduled,Follow-up Scheduled
view_audit_history,View Audit History
col_when,When
col_by,By
col_previous_value,Previous Value
col_new_value,New Value
audit_no_changes,No changes recorded yet.
audit_subtitle,Complete record of every change made to this chart — who changed it, when, and what the previous value was.
assessment_diagnosis_subtitle,Record your clinical assessment and formal diagnosis.
treatment_plan_subtitle,"Document the treatment plan, prescriptions, and advice for this patient."
followup_subtitle,"Specify any follow-up appointments, referrals, and final disposition."
close_chart_warning,Closing this chart will lock it. This action cannot be undone. Ensure all examination notes, assessment, diagnosis, and treatment plan are complete before proceeding.
saving_label,Saving...
advice_instructions,Advice & Instructions
closure_pending,Pending
close_chart_locked_note,Chart will be locked and marked as closed. Recorded: closed by
close_chart_at_submission,at time of submission.
end_label,End
